participant_id,fsm_number,test_condition,timestamp,learning_counter,state_current,response_current,state_next,task,learning_condition,response_time,fsm_type
42,22.0,prediction,2023-03-22T19:16:03.398Z,39,2.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),709,hard
42,22.0,prediction,2023-03-22T19:16:05.091Z,40,2.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),676,hard
42,22.0,prediction,2023-03-22T19:16:06.808Z,41,2.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),698,hard
42,22.0,prediction,2023-03-22T19:16:08.523Z,42,2.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),697,hard
42,22.0,prediction,2023-03-22T19:16:10.157Z,43,2.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),618,hard
42,22.0,prediction,2023-03-22T19:16:11.645Z,44,2.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),462,hard
42,22.0,prediction,2023-03-22T19:16:13.322Z,45,2.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),670,hard
43,22.0,prediction,2023-03-22T19:32:01.376Z,2,1.0,a,1.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1270,hard
43,22.0,prediction,2023-03-22T19:32:03.358Z,3,1.0,a,0.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),944,hard
43,22.0,prediction,2023-03-22T19:32:05.660Z,4,0.0,a,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1112,hard
43,22.0,prediction,2023-03-22T19:32:07.810Z,5,3.0,a,0.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),816,hard
43,22.0,prediction,2023-03-22T19:32:11.576Z,6,0.0,b,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),2737,hard
43,22.0,prediction,2023-03-22T19:32:13.376Z,7,3.0,b,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),777,hard
43,22.0,prediction,2023-03-22T19:32:15.442Z,8,3.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1039,hard
43,22.0,prediction,2023-03-22T19:32:17.392Z,9,2.0,b,1.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),776,hard
43,22.0,prediction,2023-03-22T19:32:19.075Z,10,1.0,a,0.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),661,hard
43,22.0,prediction,2023-03-22T19:32:20.626Z,11,0.0,b,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),535,hard
43,22.0,prediction,2023-03-22T19:32:22.408Z,12,3.0,a,0.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),761,hard
43,22.0,prediction,2023-03-22T19:32:37.776Z,13,0.0,a,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),3755,hard
43,22.0,prediction,2023-03-22T19:32:40.074Z,14,3.0,b,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1250,hard
43,22.0,prediction,2023-03-22T19:32:42.822Z,15,3.0,b,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1731,hard
43,22.0,prediction,2023-03-22T19:32:45.753Z,16,2.0,b,0.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1906,hard
43,22.0,prediction,2023-03-22T19:32:48.020Z,17,0.0,a,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1216,hard
43,22.0,prediction,2023-03-22T19:32:59.240Z,18,3.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1826,hard
43,22.0,prediction,2023-03-22T19:33:00.987Z,19,2.0,b,1.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),727,hard
43,22.0,prediction,2023-03-22T19:33:02.570Z,20,1.0,b,1.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),561,hard
43,22.0,prediction,2023-03-22T19:33:04.169Z,21,1.0,b,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),576,hard
43,22.0,prediction,2023-03-22T19:33:06.136Z,22,3.0,b,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),937,hard
43,22.0,prediction,2023-03-22T19:33:15.536Z,23,2.0,b,1.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1702,hard
43,22.0,prediction,2023-03-22T19:33:17.669Z,24,1.0,b,1.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1108,hard
43,22.0,prediction,2023-03-22T19:33:20.269Z,25,1.0,b,1.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1583,hard
43,22.0,prediction,2023-03-22T19:33:21.794Z,26,1.0,b,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),497,hard
43,22.0,prediction,2023-03-22T19:33:23.818Z,27,3.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),991,hard
43,22.0,prediction,2023-03-22T19:33:32.468Z,28,2.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1550,hard
43,22.0,prediction,2023-03-22T19:33:35.019Z,29,2.0,b,0.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1525,hard
43,22.0,prediction,2023-03-22T19:33:37.134Z,30,0.0,a,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1091,hard
43,22.0,prediction,2023-03-22T19:33:38.835Z,31,3.0,b,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),681,hard
43,22.0,prediction,2023-03-22T19:33:40.623Z,32,2.0,b,1.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),757,hard
43,22.0,prediction,2023-03-22T19:33:49.122Z,33,1.0,a,1.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),965,hard
43,22.0,prediction,2023-03-22T19:33:50.896Z,34,1.0,b,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),728,hard
43,22.0,prediction,2023-03-22T19:34:09.164Z,35,3.0,a,0.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),17240,hard
43,22.0,prediction,2023-03-22T19:34:10.404Z,36,0.0,b,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),224,hard
43,22.0,prediction,2023-03-22T19:34:11.960Z,37,3.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),526,hard
43,22.0,prediction,2023-03-22T19:34:13.371Z,38,2.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),398,hard
43,22.0,prediction,2023-03-22T19:34:14.945Z,39,2.0,a,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),541,hard
43,22.0,prediction,2023-03-22T19:34:16.870Z,40,2.0,b,0.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),872,hard
43,22.0,prediction,2023-03-22T19:34:18.996Z,41,0.0,a,3.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1095,hard
43,22.0,prediction,2023-03-22T19:34:21.021Z,42,3.0,b,2.0,chatbot-interaction-task-v3-p22,Experiment 2 (test preview),1017,hard
