participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an
88,21.0,easy,prediction,Experiment 1 (no preview),12,visible,3.0,a,1.0,a,,0.0,1.0,0.0,0,1.0,3116.158999904641,0.9970119521912354,0.0009960159362549805,2.3852642856712984,1.0,,,,
88,21.0,easy,prediction,Experiment 1 (no preview),13,hidden,3.0,b,,a,,3.0,1.0,1.0,1,1.0,3865.024999856949,0.0002961158752441406,0.59912109375,1.94169699663911,1.0,0.00019979476928710938,0.599609375,1.943356003131281,1.0
88,21.0,easy,prediction,Experiment 1 (no preview),14,visible,2.0,a,3.0,a,,0.0,3.0,0.0,0,1.0,7674.213999856962,0.39988009592326135,0.00019984012789768185,1.607201668390613,1.0,,,,
88,21.0,easy,prediction,Experiment 1 (no preview),15,hidden,3.0,a,,a,,2.0,1.0,2.0,2,1.0,8899.677999856998,0.400390625,0.0007672309875488281,1.6025758300302495,1.0,0.000995635986328125,0.000995635986328125,0.0,
88,21.0,easy,prediction,Experiment 1 (no preview),16,hidden,2.0,b,,a,,1.0,3.0,3.0,3,1.0,5081.7899998092325,0.00017690658569335938,0.38427734375,1.5757200779867093,1.0,7.68899917602539e-05,0.384521484375,1.577222983289343,1.0
88,21.0,easy,prediction,Experiment 1 (no preview),17,visible,0.0,b,2.0,b,,2.0,3.0,2.0,2,1.0,14027.351999999955,0.9995003331112592,0.00016655562958027982,2.395776756177686,1.0,,,,
88,21.0,easy,prediction,Experiment 1 (no preview),18,hidden,2.0,a,,b,,0.0,3.0,3.0,0,0.0,1703.5329999045937,0.0002956390380859375,0.384521484375,1.5750395589018873,0.0,0.00019979476928710938,0.00019979476928710938,0.0,
88,21.0,easy,prediction,Experiment 1 (no preview),19,hidden,2.0,a,,a,,3.0,1.0,1.0,1,1.0,4190.285999999964,0.00018334388732910156,0.230712890625,1.1942486528797187,1.0,0.00012493133544921875,0.00012493133544921875,0.0,
88,21.0,easy,prediction,Experiment 1 (no preview),20,visible,2.0,a,3.0,a,,3.0,1.0,1.0,1,1.0,1241.1369999046435,0.00019984012789768185,0.5997202238209431,1.9435139817746385,1.0,,,,
89,21.0,easy,prediction,Experiment 1 (no preview),1,hidden,3.0,a,,a,,2.0,1.0,2.0,2,1.0,11535.18500004767,0.5498046875,0.150146484375,0.9546251531991651,1.0,0.25,0.25,0.0,
89,21.0,easy,prediction,Experiment 1 (no preview),2,visible,2.0,a,3.0,a,,0.0,3.0,0.0,0,1.0,5488.865000023856,0.39988009592326135,0.00019984012789768185,1.607201668390613,1.0,,,,
89,21.0,easy,prediction,Experiment 1 (no preview),3,visible,3.0,b,3.0,b,,1.0,3.0,3.0,3,1.0,3944.155000071507,0.00016655562958027982,0.9995003331112592,2.395776756177686,1.0,,,,
89,21.0,easy,prediction,Experiment 1 (no preview),4,hidden,2.0,a,,b,,0.0,3.0,3.0,3,1.0,5251.900000047695,0.00022101402282714844,0.46142578125,1.7231016985627965,1.0,0.00012493133544921875,0.00012493133544921875,0.0,
89,21.0,easy,prediction,Experiment 1 (no preview),5,visible,3.0,a,1.0,b,,3.0,0.0,0.0,3,0.0,4738.9710000238265,0.0003328894806924102,0.9990013315579229,2.3936636137210456,0.0,,,,
89,21.0,easy,prediction,Experiment 1 (no preview),6,visible,1.0,a,0.0,a,,2.0,0.0,2.0,2,1.0,2107.369000000006,0.999400479616307,0.00019984012789768188,2.3953536985597172,1.0,,,,
89,21.0,easy,prediction,Experiment 1 (no preview),7,hidden,3.0,a,,b,,2.0,1.0,2.0,2,1.0,10732.366999976162,0.400146484375,0.00024962425231933594,1.6072377061921133,1.0,0.00033283233642578125,0.00033283233642578125,0.0,
89,21.0,easy,prediction,Experiment 1 (no preview),8,hidden,2.0,a,,b,,1.0,3.0,3.0,3,1.0,5879.039000023855,0.00014412403106689453,0.46142578125,1.7238691973031606,1.0,0.00012493133544921875,0.00012493133544921875,0.0,
89,21.0,easy,prediction,Experiment 1 (no preview),9,visible,3.0,a,1.0,a,,0.0,1.0,0.0,0,1.0,2282.443999976153,0.25,0.25,0.0,0.0,,,,
