participant_id,fsm_type,phase,feedback_condition,test_condition,trial_type,attempt,accuracy,phase_condition
14,easy,transfer,control,prediction,hidden,,0.9,transfer_prediction
14,easy,transfer,control,prediction,visible,,1.0,transfer_prediction
15,easy,feedback,prediction,prediction,hidden,3.0,0.6666666666666666,feedback_prediction
15,easy,feedback,prediction,prediction,visible,1.0,0.7333333333333333,feedback_prediction
15,easy,transfer,prediction,control,hidden,,0.3,transfer_control
15,easy,transfer,prediction,control,visible,,0.5,transfer_control
15,easy,transfer,prediction,explanation,hidden,,0.6,transfer_explanation
15,easy,transfer,prediction,explanation,visible,,0.3,transfer_explanation
16,easy,feedback,prediction,prediction,hidden,2.0,0.6666666666666666,feedback_prediction
16,easy,feedback,prediction,prediction,visible,1.0,0.6666666666666666,feedback_prediction
16,easy,transfer,prediction,control,hidden,,0.6,transfer_control
16,easy,transfer,prediction,control,visible,,0.5,transfer_control
16,easy,transfer,prediction,explanation,hidden,,0.5,transfer_explanation
16,easy,transfer,prediction,explanation,visible,,0.8,transfer_explanation
17,easy,feedback,control,control,hidden,2.0,0.6666666666666666,feedback_control
17,easy,feedback,control,control,visible,1.0,0.8,feedback_control
17,easy,transfer,control,explanation,hidden,,0.9,transfer_explanation
17,easy,transfer,control,explanation,visible,,0.8,transfer_explanation
17,easy,transfer,control,prediction,hidden,,0.3,transfer_prediction
17,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
18,easy,feedback,control,control,hidden,1.0,0.6666666666666666,feedback_control
18,easy,feedback,control,control,visible,1.0,1.0,feedback_control
18,easy,transfer,control,explanation,hidden,,0.4,transfer_explanation
18,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
18,easy,transfer,control,prediction,hidden,,0.5,transfer_prediction
18,easy,transfer,control,prediction,visible,,0.9,transfer_prediction
19,easy,feedback,explanation,explanation,hidden,2.0,0.6666666666666666,feedback_explanation
19,easy,feedback,explanation,explanation,visible,2.0,0.8,feedback_explanation
19,easy,transfer,explanation,control,hidden,,0.4,transfer_control
19,easy,transfer,explanation,control,visible,,0.6,transfer_control
19,easy,transfer,explanation,prediction,hidden,,0.5,transfer_prediction
19,easy,transfer,explanation,prediction,visible,,0.7,transfer_prediction
20,easy,feedback,control,control,hidden,2.0,0.7333333333333333,feedback_control
20,easy,feedback,control,control,visible,1.0,0.9333333333333333,feedback_control
20,easy,transfer,control,explanation,hidden,,0.8,transfer_explanation
20,easy,transfer,control,explanation,visible,,0.8,transfer_explanation
20,easy,transfer,control,prediction,hidden,,0.7,transfer_prediction
20,easy,transfer,control,prediction,visible,,0.6,transfer_prediction
21,easy,feedback,prediction,prediction,hidden,3.0,0.8,feedback_prediction
21,easy,feedback,prediction,prediction,visible,1.0,0.7333333333333333,feedback_prediction
21,easy,transfer,prediction,control,hidden,,0.6,transfer_control
21,easy,transfer,prediction,control,visible,,0.8,transfer_control
21,easy,transfer,prediction,explanation,hidden,,0.5,transfer_explanation
21,easy,transfer,prediction,explanation,visible,,0.4,transfer_explanation
22,easy,feedback,prediction,prediction,hidden,2.0,0.6666666666666666,feedback_prediction
22,easy,feedback,prediction,prediction,visible,1.0,0.7333333333333333,feedback_prediction
22,easy,transfer,prediction,control,hidden,,0.7,transfer_control
22,easy,transfer,prediction,control,visible,,0.8,transfer_control
22,easy,transfer,prediction,explanation,hidden,,0.8,transfer_explanation
22,easy,transfer,prediction,explanation,visible,,0.8,transfer_explanation
23,easy,feedback,control,control,hidden,3.0,0.7333333333333333,feedback_control
23,easy,feedback,control,control,visible,1.0,1.0,feedback_control
23,easy,transfer,control,explanation,hidden,,0.4,transfer_explanation
23,easy,transfer,control,explanation,visible,,0.3,transfer_explanation
23,easy,transfer,control,prediction,hidden,,0.6,transfer_prediction
23,easy,transfer,control,prediction,visible,,0.9,transfer_prediction
24,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
24,easy,feedback,control,control,visible,1.0,0.8,feedback_control
24,easy,transfer,control,explanation,hidden,,0.7,transfer_explanation
24,easy,transfer,control,explanation,visible,,0.7,transfer_explanation
24,easy,transfer,control,prediction,hidden,,0.6,transfer_prediction
24,easy,transfer,control,prediction,visible,,0.4,transfer_prediction
25,easy,feedback,control,control,hidden,2.0,0.7333333333333333,feedback_control
25,easy,feedback,control,control,visible,3.0,0.4,feedback_control
25,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
25,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
25,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
25,easy,transfer,control,prediction,visible,,0.7,transfer_prediction
26,easy,feedback,explanation,explanation,hidden,2.0,0.6666666666666666,feedback_explanation
26,easy,feedback,explanation,explanation,visible,3.0,0.4,feedback_explanation
26,easy,transfer,explanation,control,hidden,,0.5,transfer_control
26,easy,transfer,explanation,control,visible,,0.6,transfer_control
26,easy,transfer,explanation,prediction,hidden,,0.4,transfer_prediction
26,easy,transfer,explanation,prediction,visible,,0.7,transfer_prediction
27,easy,feedback,explanation,explanation,hidden,1.0,0.7333333333333333,feedback_explanation
27,easy,feedback,explanation,explanation,visible,1.0,0.6666666666666666,feedback_explanation
27,easy,transfer,explanation,control,hidden,,0.7,transfer_control
27,easy,transfer,explanation,control,visible,,0.9,transfer_control
27,easy,transfer,explanation,prediction,hidden,,0.7,transfer_prediction
27,easy,transfer,explanation,prediction,visible,,0.8,transfer_prediction
28,easy,feedback,control,control,hidden,2.0,0.9333333333333333,feedback_control
28,easy,feedback,control,control,visible,1.0,1.0,feedback_control
28,easy,transfer,control,explanation,hidden,,0.6,transfer_explanation
28,easy,transfer,control,explanation,visible,,0.5,transfer_explanation
28,easy,transfer,control,prediction,hidden,,0.8,transfer_prediction
28,easy,transfer,control,prediction,visible,,0.9,transfer_prediction
29,easy,feedback,control,control,hidden,1.0,0.6666666666666666,feedback_control
29,easy,feedback,control,control,visible,1.0,0.7333333333333333,feedback_control
29,easy,transfer,control,explanation,hidden,,0.6,transfer_explanation
29,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
29,easy,transfer,control,prediction,hidden,,0.6,transfer_prediction
29,easy,transfer,control,prediction,visible,,0.9,transfer_prediction
30,easy,feedback,control,control,hidden,2.0,0.6666666666666666,feedback_control
30,easy,feedback,control,control,visible,3.0,0.6666666666666666,feedback_control
30,easy,transfer,control,explanation,hidden,,0.3,transfer_explanation
30,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
30,easy,transfer,control,prediction,hidden,,0.5,transfer_prediction
30,easy,transfer,control,prediction,visible,,0.5,transfer_prediction
31,easy,feedback,prediction,prediction,hidden,3.0,0.6,feedback_prediction
31,easy,feedback,prediction,prediction,visible,1.0,0.7333333333333333,feedback_prediction
31,easy,transfer,prediction,control,hidden,,0.7,transfer_control
31,easy,transfer,prediction,control,visible,,0.6,transfer_control
31,easy,transfer,prediction,explanation,hidden,,0.8,transfer_explanation
31,easy,transfer,prediction,explanation,visible,,0.3,transfer_explanation
32,easy,feedback,prediction,prediction,hidden,2.0,0.7333333333333333,feedback_prediction
32,easy,feedback,prediction,prediction,visible,1.0,0.6666666666666666,feedback_prediction
32,easy,transfer,prediction,control,hidden,,0.6,transfer_control
32,easy,transfer,prediction,control,visible,,0.6,transfer_control
32,easy,transfer,prediction,explanation,hidden,,0.3,transfer_explanation
32,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
33,easy,feedback,control,control,hidden,3.0,0.4666666666666667,feedback_control
33,easy,feedback,control,control,visible,1.0,0.8,feedback_control
33,easy,transfer,control,explanation,hidden,,0.7,transfer_explanation
33,easy,transfer,control,explanation,visible,,0.5,transfer_explanation
33,easy,transfer,control,prediction,hidden,,0.7,transfer_prediction
33,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
34,easy,feedback,control,control,hidden,3.0,0.6,feedback_control
34,easy,feedback,control,control,visible,1.0,0.6666666666666666,feedback_control
34,easy,transfer,control,explanation,hidden,,0.3,transfer_explanation
34,easy,transfer,control,explanation,visible,,0.2,transfer_explanation
34,easy,transfer,control,prediction,hidden,,0.5,transfer_prediction
34,easy,transfer,control,prediction,visible,,0.5,transfer_prediction
35,easy,feedback,prediction,prediction,hidden,3.0,0.6,feedback_prediction
35,easy,feedback,prediction,prediction,visible,3.0,0.8666666666666667,feedback_prediction
35,easy,transfer,prediction,control,hidden,,0.4,transfer_control
35,easy,transfer,prediction,control,visible,,0.6,transfer_control
35,easy,transfer,prediction,explanation,hidden,,0.5,transfer_explanation
35,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
36,easy,feedback,explanation,explanation,hidden,3.0,0.6666666666666666,feedback_explanation
36,easy,feedback,explanation,explanation,visible,1.0,0.6666666666666666,feedback_explanation
36,easy,transfer,explanation,control,hidden,,0.6,transfer_control
36,easy,transfer,explanation,control,visible,,0.6,transfer_control
36,easy,transfer,explanation,prediction,hidden,,0.6,transfer_prediction
36,easy,transfer,explanation,prediction,visible,,0.6,transfer_prediction
37,easy,feedback,prediction,prediction,hidden,3.0,0.5333333333333333,feedback_prediction
37,easy,feedback,prediction,prediction,visible,2.0,0.8,feedback_prediction
37,easy,transfer,prediction,control,hidden,,0.7,transfer_control
37,easy,transfer,prediction,control,visible,,0.7,transfer_control
37,easy,transfer,prediction,explanation,hidden,,0.5,transfer_explanation
37,easy,transfer,prediction,explanation,visible,,0.8,transfer_explanation
38,easy,feedback,control,control,hidden,3.0,0.6666666666666666,feedback_control
38,easy,feedback,control,control,visible,1.0,0.8666666666666667,feedback_control
38,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
38,easy,transfer,control,explanation,visible,,0.3,transfer_explanation
38,easy,transfer,control,prediction,hidden,,0.7,transfer_prediction
38,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
39,easy,feedback,explanation,explanation,hidden,2.0,0.7333333333333333,feedback_explanation
39,easy,feedback,explanation,explanation,visible,1.0,0.8,feedback_explanation
39,easy,transfer,explanation,control,hidden,,0.6,transfer_control
39,easy,transfer,explanation,control,visible,,0.6,transfer_control
